,pearson_ic,spearman_ic,ic_cumsum
2024-07-04 17:00:00+00:00,-0.1623757568361224,-0.12435127020250052,-9.890762820269446
2024-07-05 05:00:00+00:00,-0.5072301309946855,-0.1752518429036877,-10.397992951264131
2024-07-05 17:00:00+00:00,-0.49542266615754377,-0.1944551467123346,-10.893415617421674
2024-07-06 05:00:00+00:00,-0.5190356014529104,-0.24292054083157077,-11.412451218874585
2024-07-06 17:00:00+00:00,-0.4758336559307075,-0.16922665015928068,-11.888284874805292
2024-07-07 05:00:00+00:00,-0.47011444293620547,-0.14310316661219422,-12.358399317741497
2024-07-07 17:00:00+00:00,-0.4446644750066349,-0.0922080176862947,-12.803063792748132
2024-07-08 05:00:00+00:00,-0.4381174411646431,-0.07656640342224612,-13.241181233912775
2024-07-08 17:00:00+00:00,-0.45653831551710383,-0.13470714747907805,-13.697719549429879
2024-07-09 05:00:00+00:00,-0.46412335852998493,-0.1504210367655984,-14.161842907959864
2024-07-09 17:00:00+00:00,-0.4789840181769793,-0.1674254095598715,-14.640826926136842
2024-07-10 05:00:00+00:00,-0.501167273557217,-0.2107716895920952,-15.141994199694059
2024-07-10 17:00:00+00:00,-0.4901936485964767,-0.19327043678380057,-15.632187848290537
2024-07-11 05:00:00+00:00,-0.4806101340265005,-0.17229186227652388,-16.112797982317037
2024-07-11 17:00:00+00:00,-0.48330746223857163,-0.1878001235053728,-16.596105444555608
2024-07-12 05:00:00+00:00,-0.4820791883118488,-0.18571526366426466,-17.07818463286746
2024-07-12 17:00:00+00:00,-0.5138424920422929,-0.20913010397653697,-17.59202712490975
2024-07-13 05:00:00+00:00,-0.5088642078522858,-0.21216852514233212,-18.10089133276204
2024-07-13 17:00:00+00:00,-0.5193889750501931,-0.229363447132929,-18.620280307812234
2024-07-14 05:00:00+00:00,-0.47488445341939467,-0.1716191211331271,-19.09516476123163
